,Searched,City,State,Lat,Lng,Restaurant,Category,Transactions,Category 1,Category 2,Category 3,Vegan Options
14818,"Upper Arlington city, Ohio",Columbus,OH,40.038272,-83.018074,Smith's Deli & Restaurant,"['Italian', 'Pizza', 'Sandwiches']",['delivery'],Italian,Pizza,Sandwiches,False
14819,"Upper Arlington city, Ohio",Columbus,OH,39.957164,-83.010787,Strongwater Food & Spirits,"['Cocktail Bars', 'American (New)']","['delivery', 'pickup']",Cocktail Bars,American (New),,False
14820,"Upper Arlington city, Ohio",Columbus,OH,39.9719,-83.004324,Preston's - A Burger Joint,"['Burgers', 'Fast Food']","['delivery', 'pickup']",Burgers,Fast Food,,False
14821,"Upper Arlington city, Ohio",Columbus,OH,40.0288663364656,-83.0153502516652,Portia’s Diner,"['Vegan', 'Diners']",['delivery'],Vegan,Diners,,True
14822,"Upper Arlington city, Ohio",Upper Arlington,OH,40.054337,-83.0689163821751,Starbucks,['Coffee & Tea'],['delivery'],Coffee & Tea,,,False
14823,"Upper Arlington city, Ohio",Columbus,OH,39.9578061803119,-83.0116766694773,Ray Ray's Hog Pit,"['Food Trucks', 'Barbeque']",['delivery'],Food Trucks,Barbeque,,False
14824,"Upper Arlington city, Ohio",Columbus,OH,39.99487,-83.00668,Elia Athenian Grill,"['Mediterranean', 'Greek']","['delivery', 'pickup']",Mediterranean,Greek,,False
14825,"Upper Arlington city, Ohio",Columbus,OH,39.9651447,-83.0006102,District North,"['Mediterranean', 'Greek', 'Middle Eastern']","['delivery', 'pickup']",Mediterranean,Greek,Middle Eastern,False
14826,"Upper Arlington city, Ohio",Columbus,OH,40.0547059625387,-83.0687172710896,Roosters,"['American (Traditional)', 'Chicken Wings']",['delivery'],American (Traditional),Chicken Wings,,False
14827,"Upper Arlington city, Ohio",Columbus,OH,39.98463,-82.99949,St James Tavern,['Pubs'],['delivery'],Pubs,,,False
14828,"Upper Arlington city, Ohio",Columbus,OH,39.987714,-83.031606,Rye River Social,"['Gastropubs', 'Coffee & Tea', 'American (New)']",[],Gastropubs,Coffee & Tea,American (New),False
14829,"Upper Arlington city, Ohio",Columbus,OH,39.9835045,-83.0046273,Oddfellows Liquor Bar,['Dive Bars'],[],Dive Bars,,,False
14830,"Upper Arlington city, Ohio",Columbus,OH,39.96057,-82.99721,Two Fatt Indians,"['Indian', 'Food Trucks']",[],Indian,Food Trucks,,False
14831,"Upper Arlington city, Ohio",Columbus,OH,40.064376,-83.060409,Papa Giorgio's,['Pizza'],"['delivery', 'pickup']",Pizza,,,False
14832,"Upper Arlington city, Ohio",Columbus,OH,39.983419,-83.028582,Winans Chocolates + Coffees,"['Chocolatiers & Shops', 'Coffee & Tea']",['delivery'],Chocolatiers & Shops,Coffee & Tea,,False
14833,"Upper Arlington city, Ohio",Columbus,OH,39.994534,-83.0071860932541,First Watch,"['Breakfast & Brunch', 'Cafes', 'American (Traditional)']",[],Breakfast & Brunch,Cafes,American (Traditional),False
14834,"Upper Arlington city, Ohio",Columbus,OH,40.0147339783281,-83.0110849812627,Kabob Time,"['Mediterranean', 'Food Trucks']","['delivery', 'pickup']",Mediterranean,Food Trucks,,False
14835,"Upper Arlington city, Ohio",Columbus,OH,40.019462,-83.012158,Lucky Dragon,"['Chinese', 'Vietnamese']","['delivery', 'pickup']",Chinese,Vietnamese,,False
