SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
162,37,0,74440,0,0,0,A,Wilmington,North Carolina,106476,106456,106754,108141,109658,111686,113320,115050,118770,120836,122616,123744
162,39,0,44856,0,0,0,A,Lorain,Ohio,64097,64099,64076,63940,63756,63735,63773,63662,63729,63774,63984,63855
162,40,0,52500,0,0,0,A,Norman,Oklahoma,110925,110911,111402,113882,115600,118695,118228,120239,121974,123390,123844,124880
162,41,0,23850,0,0,0,A,Eugene,Oregon,156185,156431,156527,157424,158238,158441,160260,162910,165927,169391,170701,172622
162,42,0,24000,0,0,0,A,Erie,Pennsylvania,101786,101738,101719,101511,101290,100532,99714,99030,98211,97214,96298,95508
162,45,0,13330,0,0,0,A,Charleston,South Carolina,120083,120364,120700,123012,125223,127246,129434,132413,134453,135626,136111,137566
162,47,0,3440,0,0,0,A,Bartlett,Tennessee,54613,56941,57030,57388,58224,58231,58353,58665,58887,59101,59403,59440
162,47,0,37640,0,0,0,A,Jackson,Tennessee,65211,66847,66814,66726,67018,67467,67112,66760,66718,66748,66952,67191
162,48,0,5000,0,0,0,A,Austin,Texas,790390,801829,806164,828459,854482,875003,901170,921114,939447,951553,962469,978908
162,48,0,32372,0,0,0,A,Harlingen,Texas,64849,64943,65102,65638,65786,65674,65510,65208,65229,65153,64996,65022
162,48,0,42016,0,0,0,A,Leander,Texas,26521,27288,27709,29120,30636,32774,35280,39019,43788,49792,55924,62608
162,48,0,50820,0,0,0,A,New Braunfels,Texas,57740,57676,58059,59319,60885,63025,65902,70133,73351,78902,84495,90209
162,48,0,52356,0,0,0,A,North Richland Hills,Texas,63343,63341,63479,64256,65254,67239,68424,69145,69973,70516,70686,70670
162,48,0,65600,0,0,0,A,San Marcos,Texas,44894,45139,45267,47687,50010,54403,58983,60446,61726,63526,63688,64776
162,48,0,72392,0,0,0,A,Texas City,Texas,45099,45084,45284,45179,45577,45900,46383,47299,47994,48417,49078,50094
162,48,0,76000,0,0,0,A,Waco,Texas,124805,124797,125377,126443,127494,129011,129860,131801,133421,136939,137886,139236
162,48,0,80356,0,0,0,A,Wylie,Texas,41427,41685,42044,43597,44769,45352,46439,47348,48499,49536,51003,53067
162,51,0,47672,0,0,0,A,Lynchburg,Virginia,75568,75534,75548,76584,77269,77940,78141,79134,79710,80523,81309,82168
162,53,0,3180,0,0,0,A,Auburn,Washington,70180,70301,70560,71748,73474,74924,76198,77479,78725,81333,81789,81464
162,53,0,22640,0,0,0,A,Everett,Washington,103019,102953,103173,103445,104436,105048,106460,107077,108931,110169,111088,111475
162,53,0,67000,0,0,0,A,Spokane,Washington,208916,209455,209525,209042,209304,210036,211095,212545,215191,217415,219332,222081
162,53,0,74060,0,0,0,A,Vancouver,Washington,161791,167159,167595,169046,170035,171565,173406,176409,178621,180360,182887,184463
162,53,0,80010,0,0,0,A,Yakima,Washington,91067,91273,91637,92605,92654,92713,92790,92953,93429,93500,93548,93637
162,55,0,22300,0,0,0,A,Eau Claire,Wisconsin,65883,66230,66298,66841,67342,67892,67747,67740,68254,68547,68770,68802
162,55,0,40775,0,0,0,A,La Crosse,Wisconsin,51320,51343,51376,51225,51962,51885,52145,52023,51830,51718,51491,51227
